,Continent,Date,Value
0,Africa,2022-01-01,25030367.228070177
1,Asia,2022-01-01,94427665.48
2,Europe,2022-01-01,14862950.76
3,North America,2022-01-01,15007403.4
4,Oceania,2022-01-01,1958198.0
5,South America,2022-01-01,31201186.285714287
6,Africa,2020-01-01,23871435.263157893
7,Asia,2020-01-01,93261730.7
8,Europe,2020-01-01,14915843.92
9,North America,2020-01-01,14855914.825
10,Oceania,2020-01-01,1910148.956521739
11,South America,2020-01-01,30823574.5
12,Africa,2015-01-01,21071972.666666668
13,Asia,2015-01-01,89165003.64
14,Europe,2015-01-01,14830712.16
15,North America,2015-01-01,14259596.25
16,Oceania,2015-01-01,1756664.4782608696
17,South America,2015-01-01,29509599.714285713
18,Africa,2010-01-01,18512773.192982458
19,Asia,2010-01-01,84400826.54
20,Europe,2010-01-01,14712278.68
21,North America,2010-01-01,13568016.275
22,Oceania,2010-01-01,1613163.652173913
23,South America,2010-01-01,28077017.85714286
24,Africa,2000-01-01,14367474.245614035
25,Asia,2000-01-01,74701792.08
26,Europe,2000-01-01,14521868.46
27,North America,2000-01-01,12151739.6
28,Oceania,2000-01-01,1357512.0869565217
29,South America,2000-01-01,24973877.285714287
30,Africa,1990-01-01,11195625.07017544
31,Asia,1990-01-01,64211271.54
32,Europe,1990-01-01,14406415.94
33,North America,1990-01-01,10531660.625
34,Oceania,1990-01-01,1162774.8695652173
35,South America,1990-01-01,21224743.92857143
36,Africa,1980-01-01,8448006.614035089
37,Asia,1980-01-01,52706684.56
38,Europe,1980-01-01,13850543.18
39,North America,1980-01-01,9207334.025
40,Oceania,1980-01-01,996532.1739130435
41,South America,1980-01-01,17270643.285714287
